transaction_id,customer_id,date,amount,merchant,category,country,is_international,card_type,currency,flagged
TXN000026,1798,2024-04-25,80.38,Davis and Sons,Electronics,Germany,0,amex,EUR,0
TXN000027,2936,2024-02-24,170.97,Gonzalez and Sons,Electronics,Taiwan,0,Master Card,TWD,0
TXN000028,2809,2024-01-08,133.14,Young Group,grocerie,USA,1,MasterCard,USD,0
TXN000029,2624,1979-01-20,114.86,Jones Inc,grocerie,Singapore,0,amex,SGD,0
TXN000030,2995,2024-03-04,692.09,Jackson-Clark,Dining,Vietnam,1,AmEx,VND,0
TXN000031,1292,2024-03-11,68.31,"Robinson, Mason and Allen",Travel,Taiwan,0,amex,TWD,0
TXN000032,1889,2024-02-29,457.14,Johnson PLC,Electronics,Germany,0,Visa,EUR,0
TXN000033,1176,2024-01-05,15.33,Erickson-Young,dinning,India,1,Visa,INR,0
TXN000034,2199,2024-02-02,47.84,Hammond-Thompson,Travel,UK,0,Visa,GBP,0
TXN000035,1770,2024-05-03,105.72,Holmes Inc,Utilities,UK,0,Visa,GBP,0
TXN000036,1958,2023-12-28,29.61,Benjamin-Mills,grocerie,Germany,1,MasterCard,EUR,0
TXN000037,2455,2024-03-23,228.52,"Duncan, Garcia and Mack",Health,Taiwan,0,AmEx,TWD,0
TXN000038,1928,2024-01-18,18.97,Giles-Houston,Clothing,Singapore,0,Master Card,SGD,0
TXN000039,2787,2024-01-17,151.59,"Torres, Morton and Mitchell",Clothing,Germany,0,AmEx,EUR,0
TXN000040,2940,2024-01-17,121.88,"King, Silva and Nunez",Travel,UK,0,AmEx,GBP,0
TXN000041,2307,2024-03-16,84.46,Carlson-Logan,Dining,Japan,0,amex,JPY,0
TXN000042,1962,2024-03-07,7.86,Madden-Smith,Clothing,USA,0,MasterCard,USD,0
TXN000043,1014,2024-01-22,181.95,Garcia-Garcia,Groceries,Singapore,0,AmEx,SGD,0
TXN000044,2278,2024-05-21,67.45,Kim LLC,,Vietnam,0,amex,VND,0
TXN000045,2778,2024-04-02,113.68,Johnson-Sanders,Clothing,Vietnam,0,Master Card,VND,0
TXN000046,2668,2024-02-01,121.06,Larson PLC,Travel,Taiwan,0,Master Card,TWD,0
TXN000047,2797,2023-12-29,2.67,Tucker-Hogan,Electronics,Singapore,1,amex,SGD,0
TXN000048,2538,2024-03-19,102.42,"Davis, Campbell and Wright",healthcare,Germany,0,Master Card,EUR,0
TXN000049,1135,2024-01-15,14.3,Cain Inc,Entertainment,India,0,AmEx,INR,0
TXN000050,2601,2023-12-16,20.7,White Group,dinning,Germany,0,Master Card,EUR,0
TXN000051,2832,2024-02-14,231.54,Davis Group,Elec-tronics,Vietnam,0,Visa,VND,0
TXN000052,1504,2024-02-11,88.07,Bell-Diaz,dinning,Vietnam,0,amex,VND,0
TXN000053,1104,2023-12-26,210.69,Gallagher-Ruiz,grocerie,Vietnam,0,AmEx,VND,0
TXN000054,2120,2024-02-12,22.65,"Bowman, Kim and Richardson",None,India,0,amex,INR,0
TXN000055,2290,,93.19,"Smith, Gonzales and Lyons",Travell,Taiwan,0,Visa,TWD,0
TXN000056,1124,2024-07-24,38.6,Wilson-Hall,Electronics,UK,0,Visa,GBP,0
TXN000057,2487,2023-12-25,168.33,Rodriguez PLC,Utilities,UK,1,Master Card,GBP,0
TXN000058,1880,2024-01-13,78.45,Anthony-Ruiz,grocerie,Singapore,1,AmEx,SGD,0
TXN000059,1502,2024-05-02,71.28,Chan-Middleton,Clothing,India,0,amex,INR,0
TXN000060,2851,2024-03-15,398.7,Madden-Mueller,dinning,Germany,0,Visa,EUR,0
TXN000061,2131,2024-05-16,184.23,Bass-Lara,Clothing,UK,0,Master Card,GBP,0
TXN000062,1121,2024-01-29,117.25,Nguyen Inc,Entertainment,Taiwan,1,AmEx,TWD,0
TXN000063,2352,2023-12-04,13.46,"Bright, Craig and Martin",Electronics,Germany,1,Visa,EUR,0
TXN000064,1812,2024-01-22,32.24,"Delacruz, Torres and Bennett",None,Singapore,0,amex,SGD,0
TXN000065,1555,2024-01-29,5.07,"Archer, Oliver and Martinez",Health,UK,1,AmEx,GBP,0
TXN000066,1005,2024-05-27,101.16,Martin LLC,healthcare,Singapore,0,Visa,SGD,0
TXN000067,2003,2024-02-25,13.96,Lawson-Lindsey,Entertainment,Singapore,0,MasterCard,SGD,0
TXN000068,1900,2023-12-24,159.6,"Kennedy, Rios and Johnson",healthcare,UK,0,Master Card,GBP,0
TXN000069,1835,2024-01-03,34.23,"Travis, Castillo and Peterson",Electronics,Taiwan,1,AmEx,TWD,0
TXN000070,1925,2023-12-23,19.91,Hardin Ltd,Elec-tronics,USA,0,Master Card,USD,0
TXN000071,2561,2024-01-08,160.88,Chavez and Sons,dinning,Vietnam,1,Master Card,VND,0
TXN000072,1676,2024-01-28,183.72,Jordan and Sons,Groceries,USA,0,amex,USD,0
TXN000073,1890,2024-02-11,11.71,"Cook, Short and Alvarez",,India,0,Master Card,INR,0
TXN000074,1521,2024-03-06,461.15,Dorsey Inc,Clothing,Vietnam,1,AmEx,VND,0
TXN000075,1211,2024-02-14,10.89,Johnson and Sons,Travell,Singapore,1,AmEx,SGD,0
TXN000076,2755,2024-05-20,39.96,Petersen and Sons,healthcare,Germany,1,MasterCard,EUR,0
TXN000077,2218,2024-02-03,78.4,"Jones, Sanders and Evans",Travell,Taiwan,0,MasterCard,TWD,0
TXN000078,1732,2023-12-24,6.47,"Gordon, Barajas and Mathis",Travel,Taiwan,0,amex,TWD,0
TXN000079,2177,2024-04-29,51.5,"Alvarado, Saunders and Adams",Clothing,Vietnam,0,Visa,VND,0
TXN000080,1684,2024-02-28,23.68,Stafford Inc,Groceries,Singapore,0,MasterCard,SGD,0
TXN000081,1364,2024-04-21,160.84,Williams-Mills,Utilities,UK,0,MasterCard,GBP,0
TXN000082,2203,2024-05-12,116.82,"Martinez, Garcia and Martin",,UK,0,amex,GBP,0
TXN000083,2816,2024-04-02,54.88,marsh-robertson,dinning,Vietnam,0,Master Card,VND,0
TXN000084,1009,2024-01-12,55.48,"Miller, Finley and Stone",Dining,Vietnam,0,Visa,VND,0
TXN000085,1748,2024-01-17,13.57,Morris PLC,Groceries,Taiwan,0,MasterCard,TWD,0
TXN000086,1168,2024-04-14,341.76,"Johnson, Bennett and Green",Travel,Japan,1,Master Card,JPY,0
TXN000087,1064,2024-01-01,373.03,Kennedy Group,healthcare,Singapore,0,amex,SGD,0
TXN000088,1313,2024-03-30,12.13,"Powell, Brooks and Michael",,USA,0,MasterCard,USD,0
TXN000089,1452,2024-03-22,116.4,"Love, Irwin and Raymond",healthcare,UK,1,Master Card,GBP,0
TXN000090,2867,2024-05-27,231.89,Mitchell LLC,grocerie,Germany,0,MasterCard,EUR,0
TXN000091,2382,2024-01-10,56.22,"Johnson, Austin and Young",Groceries,UK,1,Master Card,GBP,0
TXN000092,1831,2024-02-28,183.4,Smith Inc,Health,India,1,amex,INR,0
TXN000093,1020,2024-05-15,191.03,Aguilar and Sons,healthcare,Vietnam,0,Master Card,VND,0
TXN000094,2579,2024-02-24,80.59,Clark PLC,Travel,India,0,AmEx,INR,0
TXN000095,2783,2024-03-20,50.26,Mcbride Group,None,UK,0,AmEx,GBP,0
TXN000096,1312,2023-12-24,463.08000000000004,Harrison-Rowland,Entertainment,Germany,1,Master Card,EUR,0
TXN000097,2866,2024-04-13,46.57,"Harris, Taylor and Boyd",grocerie,Vietnam,0,AmEx,VND,0
TXN000098,2054,2024-04-13,330.37,Williams and Sons,None,Vietnam,0,Master Card,VND,0
TXN000099,1260,2024-03-03,9.31,Chan-Johnson,None,India,0,Visa,INR,0
TXN000100,1679,2024-02-07,12.95,Beck-Garcia,Entertainment,Vietnam,0,amex,VND,0
TXN000101,1808,2024-03-26,21.89,Roberts-Watson,healthcare,UK,0,MasterCard,GBP,0
TXN000102,2658,2024-01-20,12.44,Norris-Hayes,,Vietnam,0,amex,VND,0
TXN000103,2481,2023-12-11,168.82,Allen-Sanchez,None,Taiwan,0,MasterCard,TWD,0
TXN000104,2981,2024-01-04,0.74,"Walter, Castro and Johnson",Electronics,Japan,0,AmEx,JPY,0
TXN000105,2933,1979-11-18,14.86,Smith-Martinez,Utilities,UK,0,Visa,GBP,0
TXN000106,2643,2024-02-10,3.94,Thomas-Martinez,Clothing,Japan,0,MasterCard,JPY,0
TXN000107,2201,2024-05-01,27.28,Osborn-Long,Electronics,UK,0,Master Card,GBP,0
TXN000108,2292,2024-02-17,1275.84,Henderson PLC,Clothing,UK,0,Visa,GBP,1
TXN000109,2115,2024-05-05,103.6,Merritt Group,Groceries,USA,0,Visa,USD,0
TXN000110,1162,2024-01-16,172.05,"Weber, Shaffer and Espinoza",Groceries,Vietnam,0,Master Card,VND,0
TXN000111,1636,,108.76,Zimmerman-Ramirez,grocerie,Japan,0,MasterCard,JPY,0
TXN000112,1605,2024-01-24,126.19,"Stanton, Stewart and Noble",Travel,India,1,Visa,INR,0
TXN000113,1058,2024-05-26,32.92,Sims Inc,healthcare,Germany,0,AmEx,EUR,0
TXN000114,2122,2024-04-11,73.95,Harper-Anderson,Health,Vietnam,0,AmEx,VND,0
TXN000115,2368,2024-03-03,83.36,Robbins-Christian,Entertainment,USA,0,AmEx,USD,0
TXN000116,2773,2024-03-26,59.48,Walsh-Huff,Clothing,Taiwan,1,Master Card,TWD,0
TXN000117,1950,2024-01-19,71.74,"Irwin, Carney and Barr",Entertainment,Vietnam,0,Visa,VND,0
TXN000118,2674,2023-12-13,20.78,"Collins, Meyer and Davis",Utilities,Vietnam,0,Visa,VND,0
TXN000119,1171,2023-12-18,21.89,"Brown, Cline and Bishop",healthcare,Singapore,0,AmEx,SGD,0
TXN000120,1585,,0.57,Phillips Inc,Dining,Japan,1,AmEx,JPY,0
TXN000121,1079,2023-12-11,34.13,Hunter-Ortiz,,India,1,AmEx,INR,0
TXN000122,1236,2023-12-10,168.34,Harrison-Crawford,Travell,Japan,1,Master Card,JPY,0
TXN000123,2041,2023-12-13,38.97,Sutton-Stephens,Health,Singapore,0,MasterCard,SGD,0
TXN000124,2640,2024-01-26,113.83,Allen Ltd,Travel,Japan,0,Master Card,JPY,0
TXN000125,1767,2023-12-15,32.93,"Ayala, Elliott and Stone",Dining,Germany,0,Master Card,EUR,0
TXN000126,1204,2024-01-30,165.77,Anderson-Gardner,dinning,Vietnam,0,Visa,VND,0
TXN000127,1630,2024-01-24,88.29,Mathis-Roberts,healthcare,Japan,0,AmEx,JPY,0
TXN000128,2174,2024-03-08,50.69,Welch-Frazier,Electronics,Germany,1,MasterCard,EUR,0
TXN000129,2366,2024-01-30,202.68,Johnson-Strong,Travell,Vietnam,0,MasterCard,VND,0
TXN000130,2541,2023-12-16,370.45,Mcguire PLC,,India,1,Master Card,INR,0
TXN000131,2928,2023-12-17,146.33,"Carroll, Anderson and Campbell",Clothing,Japan,0,Master Card,JPY,0
TXN000132,2155,2024-06-07,5.07,Branch LLC,grocerie,Japan,1,MasterCard,JPY,0
TXN000133,1180,2024-02-26,87.33,Krueger and Sons,,Japan,0,Visa,JPY,0
TXN000134,2754,2023-12-07,6.98,"Arellano, Lam and Gomez",Entertainment,Japan,1,MasterCard,JPY,0
TXN000135,2491,2024-04-12,47.94,"Ferrell, Perez and Norton",Entertainment,Taiwan,0,MasterCard,TWD,0
TXN000136,1220,2024-01-10,27.02,"Anderson, Collins and Rivera",Health,Taiwan,1,MasterCard,TWD,0
TXN000137,1300,2024-03-31,85.45,Hanson-Ray,,USA,0,MasterCard,USD,0
TXN000138,2102,2024-04-03,69.19,"Cox, Turner and Howard",grocerie,Vietnam,0,Master Card,VND,0
TXN000139,1035,2024-03-20,46.16,"Singh, Jennings and Franklin",Dining,Germany,0,Visa,EUR,0
TXN000140,2681,2023-12-19,141.81,Riggs-Roberts,Clothing,Vietnam,1,MasterCard,VND,0
TXN000141,1032,2024-02-04,119.92,"Paul, Mills and Cole",healthcare,India,0,Master Card,INR,0
TXN000142,2533,2024-03-28,12.67,"Burch, Bradley and Hamilton",Clothing,India,0,AmEx,INR,0
TXN000143,2869,2024-01-12,139.12,Mitchell Ltd,,USA,0,amex,USD,0
TXN000144,2266,2023-12-14,25.56,"Benson, Johnson and Johnson",Elec-tronics,Vietnam,0,MasterCard,VND,0
TXN000145,1238,2024-03-09,175.92,Nelson LLC,,Germany,0,Visa,EUR,0
TXN000146,2884,2024-04-06,75.7,Bell-White,Entertainment,USA,1,amex,USD,0
TXN000147,2930,2024-04-06,207.0,Fernandez-Wilson,healthcare,India,0,Visa,INR,0
TXN000148,2483,2024-02-03,55.59,Henderson-Kelley,Elec-tronics,USA,0,AmEx,USD,0
TXN000149,2900,2024-03-15,59.82,Schneider Inc,Dining,Vietnam,1,Master Card,VND,0
TXN000150,2095,2024-03-27,18.54,Moreno LLC,,USA,0,amex,USD,0
TXN000151,1800,2023-12-29,7.52,Hampton-Russell,Elec-tronics,USA,0,MasterCard,USD,0
TXN000152,2127,2024-02-19,73.3,Reed-Lloyd,healthcare,Taiwan,0,AmEx,TWD,0
TXN000153,1539,2023-12-04,242.82,Vasquez Inc,Clothing,Vietnam,1,Master Card,VND,0
TXN000154,2430,2023-12-14,55.47,"Mitchell, Turner and Smith",Utilities,Singapore,0,MasterCard,SGD,0
TXN000155,2254,2024-01-01,45.42,"Harris, Joyce and Griffith",Utilities,Taiwan,0,AmEx,TWD,0
TXN000156,2700,2024-02-22,314.52,"Walker, Gray and Matthews",,Germany,0,MasterCard,EUR,0
TXN000157,2337,2024-02-03,109.57,"Prince, Smith and Soto",Groceries,Taiwan,0,amex,TWD,0
TXN000158,2959,2024-03-26,4.72,"thompson,priceandrosario",Travell,Germany,1,Visa,EUR,0
TXN000159,2951,2024-01-10,59.56,Thompson Inc,,UK,0,AmEx,GBP,0
TXN000160,2119,2024-01-15,200.56,Ortiz-Dean,Entertainment,Germany,1,amex,EUR,0
TXN000161,1550,2024-05-09,11.43,Rice-Hart,Electronics,Japan,0,AmEx,JPY,0
TXN000162,2443,2024-02-13,51.35,Rubio Group,,Singapore,1,Visa,SGD,0
TXN000163,2417,2024-02-28,14.61,Carr-Stevens,Travel,Vietnam,0,Visa,VND,0
TXN000164,1778,2024-04-15,8.1,Lee-Crawford,Electronics,Singapore,1,MasterCard,SGD,0
TXN000165,2471,2023-12-28,32.26,Cruz-Rodriguez,Dining,Japan,0,Visa,JPY,0
TXN000166,1705,2024-03-09,73.33,Phillips PLC,,Singapore,1,amex,SGD,0
TXN000167,2517,2024-05-29,38.89,"Adams, Contreras and Schwartz",None,Taiwan,0,AmEx,TWD,0
TXN000168,1228,2024-03-21,27.59,Barnes-Jimenez,Dining,USA,0,MasterCard,USD,0
TXN000169,2406,2024-02-16,5.48,Turner Group,healthcare,UK,0,Master Card,GBP,0
TXN000170,1635,2024-03-18,187.93,"Brown, Brown and Cox",None,Taiwan,1,MasterCard,TWD,0
TXN000171,1661,2023-12-10,56.82,Weiss PLC,Electronics,India,0,Master Card,INR,0
TXN000172,1083,2024-04-06,60.21,Hebert-Dixon,healthcare,Vietnam,0,Visa,VND,0
TXN000173,1380,2024-03-19,202.32,Smith-Warren,,India,1,MasterCard,INR,0
TXN000174,2007,2024-04-27,66.45,Perez Inc,healthcare,USA,0,MasterCard,USD,0
TXN000175,2803,2024-02-01,79.85,Carlson-Barker,Groceries,Japan,0,Master Card,JPY,0
TXN000176,1774,2024-02-03,17.71,Ray-Austin,Electronics,Japan,0,Visa,JPY,0
TXN000177,1581,2024-01-17,130.66,Mcintyre Inc,Groceries,Taiwan,0,AmEx,TWD,0
TXN000178,1834,2024-03-31,40.22,Ward-Vaughn,Utilities,Singapore,0,Visa,SGD,0
TXN000179,1755,2024-05-07,33.01,Wilkins-Jackson,,Taiwan,1,MasterCard,TWD,0
TXN000180,1463,2024-01-06,100.37,Long Ltd,Health,Vietnam,0,MasterCard,VND,0
TXN000181,1204,2024-04-20,84.28,"Neal, Thompson and Lawrence",Electronics,Singapore,0,Visa,SGD,0
TXN000182,1706,2024-04-22,39.13,Leonard-Martinez,Clothing,Japan,0,Visa,JPY,0
TXN000183,2251,2023-12-10,52.7,Barton and Sons,Electronics,UK,1,AmEx,GBP,0
TXN000184,2744,2024-04-19,325.98,Thomas-Cook,Entertainment,India,0,AmEx,INR,0
TXN000185,1680,2024-04-30,59.14,"Mullen, Chambers and Cain",healthcare,Singapore,0,AmEx,SGD,0
TXN000186,2136,2024-04-27,18.93,Brown LLC,healthcare,Taiwan,0,Master Card,TWD,0
TXN000187,1047,2024-04-29,10.67,"Ferguson, Molina and Hill",grocerie,Taiwan,0,Visa,TWD,0
TXN000188,2479,2024-01-07,105.29,Osborne Ltd,Clothing,India,0,amex,INR,0
TXN000189,1568,2024-03-23,135.14,Wilkins-Morris,healthcare,Germany,0,AmEx,EUR,0
TXN000190,1093,2024-05-18,539.1,Jones LLC,Clothing,Singapore,0,Visa,SGD,0
TXN000191,2137,2023-12-27,37.04,Mcpherson Group,Utilities,UK,0,Master Card,GBP,0
TXN000192,2155,2024-02-02,40.25,Roy-Campbell,,Singapore,0,Master Card,SGD,0
TXN000193,2277,2024-01-05,84.12,Young PLC,Clothing,Taiwan,1,Visa,TWD,0
TXN000194,1278,2024-01-10,333.95,"Cooper, Rice and Brown",Dining,India,0,Visa,INR,0
TXN000195,2941,2023-12-26,35.86,"Mata, Graves and Nelson",Health,UK,1,AmEx,GBP,0
TXN000196,1725,2024-05-07,132.25,"White, Campos and Pham",None,Japan,0,amex,JPY,0
TXN000197,1305,2024-04-12,31.28,Mckee-Meyers,Travel,Japan,1,AmEx,JPY,0
TXN000198,2534,2024-03-11,103.29,Walton LLC,Groceries,India,0,AmEx,INR,0
TXN000199,1225,2024-03-03,97.35,Brady Group,grocerie,UK,0,Master Card,GBP,0
TXN000200,2199,2024-03-02,118.07,Peterson-Castro,Elec-tronics,Japan,1,AmEx,JPY,0
TXN000201,2296,2024-01-18,52.3,Collier PLC,Clothing,UK,0,MasterCard,GBP,0
TXN000202,1347,2024-03-13,317.03,"Dyer, Pham and Moses",grocerie,Singapore,0,Visa,SGD,0
TXN000203,2006,2024-02-05,12.17,Garcia Ltd,Entertainment,Taiwan,0,AmEx,TWD,0
TXN000204,1186,2024-04-06,8.34,Sweeney-Dennis,grocerie,Vietnam,1,Visa,VND,0
TXN000205,2922,2024-04-27,64.73,Rodriguez PLC,,UK,0,amex,GBP,0
TXN000206,1211,2024-04-26,267.04,Bartlett-Hull,None,India,0,MasterCard,INR,0
TXN000207,2470,2024-04-04,42.15,Orr-Everett,Elec-tronics,Japan,0,MasterCard,JPY,0
TXN000208,2231,2024-05-14,3.1,"Graves, Harrington and Dunn",None,Germany,0,AmEx,EUR,0
TXN000209,1637,2024-05-12,79.28,Lopez-Bennett,healthcare,Japan,0,MasterCard,JPY,0
TXN000210,2885,2024-03-18,4.77,"Fowler, Curtis and Clay",healthcare,Japan,0,Visa,JPY,0
TXN000211,1254,2024-04-08,24.66,Mcconnell and Sons,None,Singapore,0,amex,SGD,0
TXN000212,2571,2023-12-14,39.27,Gilbert-Brown,Entertainment,Japan,1,amex,JPY,0
TXN000213,1113,2023-12-13,21.43,Foster-Burgess,,Germany,0,Master Card,EUR,0
TXN000214,2379,2024-03-15,117.8,Kennedy Inc,Dining,Japan,0,Visa,JPY,0
TXN000215,1964,2024-05-26,54.78,"Fisher, Ramos and Ross",Clothing,Germany,0,Master Card,EUR,0
TXN000216,2311,2024-01-16,317.78,Chavez and Sons,Electronics,Germany,1,MasterCard,EUR,0
TXN000217,2714,2024-02-18,26.35,"Rogers, Thomas and Bates",Elec-tronics,Taiwan,0,Visa,TWD,0
TXN000218,1192,2024-01-25,38.99,Castillo and Sons,Dining,Germany,0,AmEx,EUR,0
TXN000219,2616,2024-05-19,49.14,"Williams, Sawyer and Flynn",Groceries,Germany,0,MasterCard,EUR,0
TXN000220,2490,2024-01-08,10.1,"Martinez, Franklin and Hudson",Travel,USA,1,Visa,USD,0
TXN000221,1754,2024-02-16,16.58,Santiago-Dawson,Entertainment,USA,1,amex,USD,0
TXN000222,1308,2024-01-19,64.87,Carlson LLC,dinning,UK,0,amex,GBP,0
TXN000223,2763,2024-01-03,167.41,Evans-Cabrera,Clothing,India,0,Visa,INR,0
TXN000224,2135,2023-12-30,36.97,Vazquez PLC,Travell,Taiwan,0,Master Card,TWD,0
TXN000225,1475,2024-01-03,98.74,"Murphy, Miller and Johnson",,Japan,0,amex,JPY,0
TXN000226,1772,2024-04-29,35.47,"Henry, Chapman and Thompson",Utilities,UK,0,Master Card,GBP,0
TXN000227,1245,2024-01-04,45.6,Sweeney PLC,grocerie,UK,0,Master Card,GBP,0
TXN000228,2030,2024-01-12,125.85,Delgado LLC,Clothing,Vietnam,0,AmEx,VND,0
TXN000229,1225,2023-12-27,103.29,"Green, Barajas and House",Elec-tronics,USA,0,Visa,USD,0
TXN000230,1572,2024-01-27,21.86,Kerr Group,Groceries,Vietnam,1,Master Card,VND,0
TXN000231,2285,2024-02-20,115.52,Nguyen-Santiago,Utilities,Vietnam,0,MasterCard,VND,0
TXN000232,2684,2024-05-16,150.32,"Baker, Jackson and Brown",,Vietnam,0,AmEx,VND,0
TXN000233,2290,2023-12-04,237.68,"Rice, Long and Sweeney",grocerie,India,1,amex,INR,0
TXN000234,2853,2024-04-15,202.15,Moore PLC,Elec-tronics,Taiwan,0,MasterCard,TWD,0
TXN000235,2102,2024-04-04,127.4,"Figueroa, Mills and Mullen",Electronics,Taiwan,0,AmEx,TWD,0
TXN000236,2123,2024-04-03,336.61,Williams Ltd,,Germany,0,Visa,EUR,0
TXN000237,2710,2024-02-24,142.62,Johnson PLC,Travell,Singapore,0,AmEx,SGD,0
TXN000238,1271,2024-04-21,250.76,Simpson Group,,Taiwan,0,MasterCard,TWD,0
TXN000239,2416,2024-01-17,113.46,"Russell, Guzman and Johnson",Entertainment,Germany,1,Visa,EUR,0
TXN000240,1418,2024-04-20,57.02,Thompson Group,,Vietnam,0,MasterCard,VND,0
TXN000241,2338,2024-06-27,57.82,"Gilbert, Gonzalez and Jenkins",Elec-tronics,Vietnam,1,AmEx,VND,0
TXN000242,1828,2024-01-15,63.49,Davis and Sons,Entertainment,Japan,0,AmEx,JPY,0
TXN000243,1614,2023-12-24,2.52,"Elliott, Delacruz and Porter",Utilities,Vietnam,0,AmEx,VND,0
TXN000244,1645,2024-03-16,102.41,Davis-Meadows,dinning,Taiwan,0,MasterCard,TWD,0
TXN000245,1088,2024-01-09,364.57,Guzman Inc,Entertainment,Vietnam,0,Visa,VND,0
TXN000246,1043,2024-02-13,54.54,Young-Holden,Health,Singapore,0,Visa,SGD,0
TXN000247,2374,2024-05-12,80.91,Mejia LLC,,UK,1,Visa,GBP,0
TXN000248,2242,2024-01-02,64.09,Lambert PLC,Electronics,Germany,0,Visa,EUR,0
TXN000249,1137,2023-12-20,58.34,Oneill-Grimes,Dining,Germany,0,AmEx,EUR,0
TXN000250,1371,2024-05-14,137.27,Brown-Bradley,,Singapore,0,Master Card,SGD,0
TXN000251,1938,2024-04-14,5.07,Case-Turner,Health,Taiwan,0,Visa,TWD,0
TXN000252,1502,2024-02-11,161.44,"Taylor, Thomas and Kelley",grocerie,Vietnam,1,amex,VND,0
TXN000253,1838,1986-01-28,5.48,"Baldwin, Tate and Butler",Dining,Germany,0,AmEx,EUR,0
TXN000254,1488,2024-03-25,36.11,Gould-Jefferson,Clothing,Taiwan,1,MasterCard,TWD,0
TXN000255,2156,2024-03-26,38.77,Rodgers-Davis,None,UK,0,Visa,GBP,0
TXN000256,2325,2023-12-09,54.68,Hunter-Dixon,None,UK,0,amex,GBP,0
TXN000257,2654,2023-12-31,63.66,Crawford PLC,Elec-tronics,Taiwan,0,MasterCard,TWD,0
TXN000258,1229,2024-04-01,0.99,"Wall, Perez and Nelson",grocerie,USA,0,amex,USD,0
TXN000259,2425,2024-05-22,278.66,Gordon PLC,Electronics,Singapore,0,AmEx,SGD,0
TXN000260,1049,2024-03-31,56.82,Lopez and Sons,Health,UK,0,amex,GBP,0
TXN000261,2121,2024-02-11,3.02,"Nunez, Brown and Romero",Travel,UK,0,Visa,GBP,0
TXN000262,1943,2024-03-21,10.08,"Palmer, Franklin and Warner",None,Vietnam,1,amex,VND,0
TXN000263,1399,2024-02-04,109.3,"Cox, Jones and Thomas",healthcare,UK,0,AmEx,GBP,0
TXN000264,2285,2024-05-10,119.77,Love-Wilson,None,India,1,AmEx,INR,0
TXN000265,1711,2024-02-15,51.02,Lane Ltd,Electronics,Germany,0,AmEx,EUR,0
TXN000266,2813,2024-01-28,78.55,Richardson PLC,Dining,Vietnam,1,MasterCard,VND,0
TXN000267,1547,2024-04-18,29.85,Matthews-Young,healthcare,Japan,0,MasterCard,JPY,0
TXN000268,1483,2024-01-09,143.8,Jefferson Inc,grocerie,Singapore,0,MasterCard,SGD,0
TXN000269,1894,2024-01-08,49.25,Bryant-Sampson,Elec-tronics,USA,0,AmEx,USD,0
